,Date,Open,Close,Volume,MACD,RSI,EFFR,UNRATE,USDX,VIX
1,10/17/20,121.279999,119.019997,115393800,1.919678791,57.90733514,0.09,6.9,93.800003,27.16
1,10/18/20,121.279999,119.019997,115393800,1.982047546,57.90733514,0.09,6.9,93.800003,27.16
1,10/19/20,119.959999,115.980003,120639300,1.903025374,55.18378793,0.09,6.9,93.720001,27.360001
1,10/20/20,116.199997,117.510002,124423700,1.519483337,48.22585706,0.09,6.9,93.419998,28.809999
1,10/21/20,116.669998,116.870003,89946000,1.239164347,49.08996381,0.09,6.9,93.050003,29.120001
1,10/22/20,117.449997,115.75,101988000,1.067641818,50.56455908,0.09,6.9,92.669998,30.1
1,10/23/20,116.389999,115.040001,82572600,0.836532967,48.50828484,0.09,6.9,92.93,28.469999
1,10/24/20,116.389999,115.040001,82572600,0.64593164,48.50828484,0.09,6.9,92.93,28.469999
1,10/25/20,116.389999,115.040001,82572600,0.489239072,48.50828484,0.09,6.9,92.93,28.469999
1,10/26/20,114.010002,115.050003,111850700,0.171041554,43.54264691,0.09,6.9,92.760002,29.379999
1,10/27/20,115.489998,116.599998,92276800,0.037854672,47.16467902,0.09,6.9,93.07,32.040001
1,10/28/20,115.050003,111.199997,143937800,-0.102024733,46.2154075,0.09,6.9,93.150002,34.689999
1,10/29/20,112.370003,115.32,146129200,-0.424243358,40.82554927,0.09,6.9,93.459999,38.799999
1,10/30/20,111.059998,108.860001,190272600,-0.776360989,38.46414942,0.09,6.9,93.919998,40.810001
1,10/31/20,111.059998,108.860001,190272600,-1.043389208,38.46414942,0.09,6.9,93.919998,40.810001
1,11/1/20,111.059998,108.860001,190272600,-1.240708875,38.46414942,0.09,6.7,93.919998,40.810001
1,11/2/20,109.110001,108.769997,122866900,-1.536720239,34.72949048,0.09,6.7,93.889999,38.57
1,11/3/20,109.660004,110.440002,107624400,-1.707250611,36.59933052,0.09,6.7,94.050003,36.439999
1,11/4/20,114.139999,114.949997,138235500,-1.464022661,49.33197431,0.09,6.7,93.089996,36.790001
1,11/5/20,117.949997,119.029999,126387100,-0.952843969,57.20359159,0.09,6.7,93.339996,27.559999
1,11/6/20,118.32,118.690002,114457900,-0.511973314,57.88782278,0.09,6.7,92.57,27.870001
1,11/7/20,118.32,118.690002,114457900,-0.160727378,57.88782278,0.09,6.7,92.57,27.870001
1,11/8/20,118.32,118.690002,114457900,0.116296958,57.88782278,0.09,6.7,92.57,27.870001
1,11/9/20,120.5,116.32,154515300,0.505916629,62.32086405,0.09,6.7,92.239998,24.799999
1,11/10/20,115.550003,115.970001,138023400,0.410537219,49.56284065,0.09,6.7,92.760002,25.360001
1,11/11/20,117.190002,119.489998,112295000,0.461957405,52.99610399,0.09,6.7,92.699997,25.01
1,11/12/20,119.620003,119.209999,103162300,0.690825638,57.60138102,0.09,6.7,93.010002,24.389999
1,11/13/20,119.440002,119.260002,81581900,0.847906644,57.15466989,0.09,6.7,92.949997,24.940001
1,11/14/20,119.440002,119.260002,81581900,0.961313055,57.15466989,0.09,6.7,92.949997,24.940001
1,11/15/20,119.440002,119.260002,81581900,1.039209098,57.15466989,0.09,6.7,92.949997,24.940001
1,11/16/20,118.919998,120.300003,91183000,1.046914121,55.59889815,0.09,6.7,92.720001,23.66
1,11/17/20,119.550003,119.389999,74271000,1.091276984,57.12173493,0.09,6.7,92.489998,22.84
1,11/18/20,118.610001,118.029999,76322100,1.038612094,54.13818854,0.09,6.7,92.440002,22.860001
1,11/19/20,117.589996,118.639999,74113000,0.904146472,51.02387015,0.08,6.7,92.559998,23.620001
1,11/20/20,118.639999,117.339996,73604300,0.872253173,53.95995087,0.08,6.7,92.339996,23.43
1,11/21/20,118.639999,117.339996,73604300,0.837325338,53.95995087,0.08,6.7,92.339996,23.43
1,11/22/20,118.639999,117.339996,73604300,0.800418057,53.95995087,0.08,6.7,92.339996,23.43
1,11/23/20,117.18,113.849998,127959300,0.645913366,48.87182175,0.08,6.7,92.400002,23.66
1,11/24/20,113.910004,115.169998,113874200,0.256647464,39.81607329,0.08,6.7,92.529999,22.040001
1,11/25/20,115.550003,116.029999,76499200,0.07956843,45.29131325,0.08,6.7,92.110001,21.65
1,11/26/20,115.550003,116.029999,76499200,-0.060075468,45.29131325,0.08,6.7,92.110001,21.65
1,11/27/20,116.57,116.589996,46691300,-0.087431177,48.66030975,0.08,6.7,92.019997,21.52
1,11/28/20,116.57,116.589996,46691300,-0.107867346,48.66030975,0.08,6.7,92.019997,21.52
1,11/29/20,116.57,116.589996,46691300,-0.122649332,48.66030975,0.08,6.7,92.019997,21.52
1,11/30/20,116.970001,119.050003,169410200,-0.100924035,50.16348014,0.09,6.7,91.779999,22.639999
1,12/1/20,121.010002,122.720001,127728200,0.239526622,62.20107019,0.09,6.7,91.949997,20.209999
1,12/2/20,122.019997,123.080002,89004200,0.584101221,64.50904948,0.09,6.7,91.190002,21
1,12/3/20,123.519997,122.940002,78967600,0.967068771,67.66666749,0.09,6.7,91.059998,21.24
1,12/4/20,122.599998,122.25,78260400,1.182703611,63.91090838,0.09,6.7,90.709999,21.049999
1,12/5/20,122.599998,122.25,78260400,1.338170183,63.91090838,0.09,6.7,90.709999,21.049999
1,12/6/20,122.599998,122.25,78260400,1.444724675,63.91090838,0.09,6.7,90.709999,21.049999
1,12/7/20,122.309998,123.75,86712000,1.488609536,62.54420364,0.09,6.7,90.809998,22.040001
1,12/8/20,124.370003,124.379997,82225500,1.670358935,67.81012074,0.09,6.7,90.900002,21.65
1,12/9/20,124.529999,121.779999,115089200,1.806482971,68.18425086,0.09,6.7,90.919998,20.66
1,12/10/20,120.5,123.239998,81312200,1.571064755,51.84046373,0.09,6.7,91.059998,22.120001
1,12/11/20,122.43,122.410004,86939800,1.522676526,57.13913101,0.09,6.7,90.739998,22.49
1,12/12/20,122.43,122.410004,86939800,1.467413081,57.13913101,0.09,6.7,90.739998,22.49
1,12/13/20,122.43,122.410004,86939800,1.407392854,57.13913101,0.09,6.7,90.739998,22.49
1,12/14/20,122.599998,121.779999,79184500,1.357890889,57.65170998,0.09,6.7,90.980003,22.67
1,12/15/20,124.339996,127.879997,157243700,1.442436017,62.58398179,0.09,6.7,90.690002,24
1,12/16/20,127.410004,127.809998,98208600,1.737137983,69.36384361,0.09,6.7,90.489998,22.51
1,12/17/20,128.899994,128.699997,94359800,2.067092994,72.01434079,0.09,6.7,90.269997,21.98
1,12/18/20,128.960007,126.660004,192541500,2.306835501,72.11896894,0.09,6.7,89.830002,22.15
1,12/19/20,128.960007,126.660004,192541500,2.468379226,72.11896894,0.09,6.7,89.830002,22.15
1,12/20/20,128.960007,126.660004,192541500,2.566815145,72.11896894,0.09,6.7,89.830002,22.15
1,12/21/20,125.019997,128.229996,121251600,2.300383057,55.19748785,0.09,6.7,89.919998,24.25
1,12/22/20,131.610001,131.880005,168904800,2.591123101,68.50729723,0.09,6.7,90.089996,25.24
1,12/23/20,132.160004,130.960007,88223700,2.8332573,69.32632632,0.09,6.7,90.519997,23.49
1,12/24/20,131.320007,131.970001,54930100,2.923667441,66.48255636,0.09,6.7,90.279999,22.469999
1,12/25/20,131.320007,131.970001,54930100,2.961183449,66.48255636,0.09,6.7,90.279999,22.469999
1,12/26/20,131.320007,131.970001,54930100,2.956830653,66.48255636,0.09,6.7,90.279999,22.469999
1,12/27/20,131.320007,131.970001,54930100,2.919724267,66.48255636,0.09,6.7,90.279999,22.469999
1,12/28/20,133.990005,136.690002,124486200,3.070370394,71.48362217,0.09,6.7,90.220001,22.110001
1,12/29/20,138.050003,134.869995,121047300,3.477282495,77.08309574,0.09,6.7,90.209999,21.610001
1,12/30/20,135.580002,133.720001,96452100,3.559424005,68.29673959,0.09,6.7,89.980003,22.58
