Date,Close,Volume,ma7,ma21,26ema,12ema,MACD,momentum,pos,neg,neu,SNP,PFE,JNJ,BMY,VTRS,AMGN,NYSE,NASDAQ,FT6,FT9,ARIMA
1/2/20,87.824425,8251428,87.24645457,85.82106452,85.32415189,86.62310557,1.298953679,86.824425,0.330062091,0.105461918,0.564476013,3257.850098,34.07484818,137.7292938,59.45773697,20.17961311,224.7041626,14002.49023,9092.19043,76.02417996,81.62616681,86.81445146
1/3/20,87.07061,5903698,87.17966029,85.99690971,85.45351916,86.69195241,1.238433247,86.07061,0,0,1,3234.850098,33.89202118,136.1347046,58.93205643,19.73986626,223.1786652,13917.0498,9020.769531,75.86800603,81.49834538,87.83993539
1/6/20,87.442749,7522963,87.20692343,86.13186062,85.60086952,86.80745958,1.206590056,86.442749,0.364412256,0.300317157,0.335270613,3246.280029,33.84849167,135.964859,59.11980057,20.39460373,224.8913269,13941.7998,9071.469727,75.71066959,81.36766709,87.01824268
1/7/20,85.114502,11132275,86.91521129,86.15230776,85.5648423,86.54700456,0.982162268,84.114502,0.909891069,0.060526479,0.029582461,3237.179932,33.7353096,136.7951813,60.01156998,20.68776894,222.7762451,13898.4502,9068.580078,75.55218119,81.23413301,87.48527369
1/8/20,84.541985,15200506,86.51990086,86.14094833,85.48907509,86.23854002,0.749464927,83.541985,0.869160533,0.021028842,0.109810594,3253.050049,34.00519562,136.7763214,59.945858,20.73662949,222.9447021,13934.44043,9129.240234,75.3925515,81.09774483,85.08356166
1/9/20,85.286263,9714750,86.29498314,86.17093767,85.47405197,86.09203586,0.617983888,84.286263,0.808192194,0.055907354,0.135900468,3274.699951,33.85720062,137.1820221,61.43840027,20.45323563,223.6091919,13997.65039,9203.429688,75.2317913,80.95850492,84.62724231
1/10/20,85.42939,5945304,86.10141771,86.19047619,85.47074368,85.99009034,0.519346666,84.42939,0.393041611,0.017893726,0.589064658,3265.350098,34.37955093,136.8706665,61.23189163,20.37505722,222.9821625,13957.96973,9178.860352,75.06991146,80.81641629,85.36271129
1/13/20,85.410301,10261492,85.75654286,86.21455819,85.46626644,85.90089198,0.434625541,84.410301,0.55168885,0.01873064,0.42958051,3288.129883,34.30990219,137.4745331,62.09550858,20.30665398,221.7280579,14042.65039,9273.929688,74.90692294,80.67148262,85.42920198
1/14/20,85.811066,8625669,85.576608,86.23091562,85.49180715,85.8870726,0.395265451,84.811066,0,0,1,3283.149902,34.88449097,138.2482452,62.36772919,20.71708679,224.6105652,14037.12988,9251.330078,74.74283681,80.52370821,85.47035913
1/15/20,87.347328,9614038,85.56297643,86.33769481,85.62925314,86.11172728,0.482474139,86.347328,0,0,1,3289.290039,35.40684509,138.7105713,62.49914551,21.54772186,226.2015686,14053.23047,9258.700195,74.57766423,80.37309805,85.81642085
1/16/20,87.003815,7252474,85.83287829,86.42357276,85.73107254,86.24897154,0.517899006,86.003815,0,0,1,3316.810059,35.35461044,139.8334045,62.68688965,21.46954536,225.0785065,14141.78027,9357.129883,74.41141647,80.21965778,87.31127683
1/17/20,86.803436,10131226,86.15594271,86.5121769,85.81050687,86.33427377,0.5237669,85.803436,0.51262778,0.013849783,0.473522395,3329.620117,35.26755142,140.748642,62.63057327,21.1666069,226.0050507,14183.2002,9388.94043,74.24410487,80.06339371,86.91717525
1/21/20,85.849236,10022129,86.23636743,86.52808024,85.81337569,86.25965257,0.44627688,84.849236,0.707742095,0.011031426,0.281226486,3320.790039,35.1195488,140.8429871,63.29704285,21.15683556,222.3644562,14109.98047,9370.80957,74.07574089,79.90431279,86.79463285
1/22/20,85.543892,7800474,86.25272486,86.5126311,85.79341394,86.14953556,0.356121624,84.543892,0,0,1,3321.75,34.98895645,139.8805695,63.29704285,21.29364586,221.5689545,14110.24023,9383.769531,73.90633605,79.74242263,85.82163592
1/23/20,84.503815,13198093,86.12322686,86.3754081,85.69788809,85.89634778,0.198459693,83.503815,0.73717308,0.024890009,0.237936869,3325.540039,35.44166946,140.1447449,62.77137375,21.63567162,219.9686127,14102.04004,9402.480469,73.735902,79.57773154,85.55044265
1/24/20,82.041985,14954960,85.58478671,86.113685,85.42708045,85.30336889,-0.12371156,81.041985,0.060141893,0.491555768,0.448302346,3295.469971,34.66683578,139.9466553,60.22747421,21.35227966,211.1245728,13978.46973,9314.910156,73.56445043,79.41024844,84.53994286
1/27/20,82.156487,10847534,84.843238,85.87104595,85.18481427,84.81923322,-0.365581055,81.156487,0.472286099,0.489441881,0.038272021,3243.629883,34.96284103,140.352356,59.79566574,20.67799568,208.6538696,13769.59961,9139.30957,73.39199317,79.23998294,82.09572245
1/28/20,82.299622,9496347,84.17121043,85.63976667,84.97109633,84.43160072,-0.539495603,81.299622,0.921921194,0.045196202,0.032882582,3276.23999,33.20425415,141.0600128,60.83763504,21.34250641,210.4226685,13877.61035,9269.679688,73.2185421,79.06694531,82.32090945
1/29/20,83.244278,8511227,83.66275929,85.44620095,84.84318386,84.24893569,-0.594248169,82.244278,0.010183963,0.962279379,0.02753661,3273.399902,32.71672058,142.0413055,60.20869827,21.59658432,212.5845337,13843.80957,9275.160156,73.0441092,78.89114648,82.34864732
1/30/20,82.53817,11016471,83.18974986,85.24036681,84.67244209,83.98574097,-0.686701123,81.53817,0,0,1,3283.659912,32.6023941,141.87146,59.8989296,21.42068481,211.6486511,13861.91992,9298.929688,72.86870654,78.71259802,83.31766479
1/31/20,81.526718,9621583,82.61586786,84.99000348,84.43942549,83.60742974,-0.831995749,80.526718,0.015752742,0.819177032,0.165070146,3225.52002,32.75190735,140.4655457,59.09163284,20.93207359,202.1963196,13614.09961,9150.94043,72.69234625,78.53131219,82.56050633
2/3/20,83.339699,9729318,82.44956557,84.7764451,84.35796427,83.5662404,-0.791723873,82.339699,0.388782022,0.080526468,0.530691495,3248.919922,32.98935699,141.6921692,59.68302536,21.12751961,202.9730835,13677.91992,9273.400391,72.51504056,78.34730189,81.53462661
2/4/20,84.312981,15091305,82.77399357,84.64512943,84.35463217,83.68112357,-0.673508609,83.312981,0,0,1,3297.590088,33.14767456,143.0414429,60.34951019,21.75293922,207.5869598,13862.83984,9467.969727,72.33680179,78.16058068,83.39196564
2/5/20,81.898857,29290133,82.73718929,84.38113457,84.1727229,83.40692871,-0.765794193,80.898857,0.250729894,0.248357642,0.500912462,3334.689941,33.5698204,145.296524,61.56982803,22.3295002,217.0674133,14024.86035,9508.679688,72.1576423,77.97116277,84.22515224
2/6/20,81.755722,16110170,82.65948929,84.22119267,83.9936858,83.15289691,-0.840788891,80.755722,0.220775619,0.501982361,0.277241988,3345.780029,33.64897537,144.8624878,62.98726273,22.3295002,216.6088104,14034.9502,9572.150391,71.97757458,77.77906302,81.84681996
2/7/20,81.183205,11419427,82.36505029,84.06125076,83.78550204,82.84986738,-0.935634652,80.183205,0.026400175,0.582641602,0.39095819,3327.709961,33.46428299,143.315094,62.18937302,22.2513237,214.6247406,13931.92969,9520.509766,71.79661115,77.58429697,81.88393864
2/10/20,81.736641,10590983,82.25054614,83.89222114,83.63373455,82.67860179,-0.955132765,80.736641,0.668303907,0.14121525,0.190480873,3352.090088,33.25320816,143.2867889,62.80892563,22.10474014,212.837204,13984.48047,9628.389648,71.61476462,77.38688077,81.14669708
2/11/20,81.345421,10252689,82.22464657,83.69774643,83.46422984,82.47349705,-0.990732794,80.345421,0.151411042,0.014014971,0.834573984,3357.75,33.49946976,143.4094543,62.8840065,21.84088898,214.2784729,14054.08008,9638.94043,71.4320477,77.18683123,81.77616307
2/12/20,79.437019,19630926,81.66712086,83.41330443,83.16591793,82.00634658,-1.159571349,78.437019,0.831408441,0.008251732,0.160339758,3379.449951,33.19164658,142.5602264,62.8934021,21.65521812,212.4441681,14136.98047,9725.959961,71.24847312,76.98416582,81.39268896
2/13/20,78.215652,19388734,80.79607386,83.05161805,82.79923156,81.4231628,-1.376068766,77.215652,0,0,1,3373.939941,32.47926331,141.616684,62.02979279,21.1470623,210.2198334,14099.04004,9711.969727,71.06405374,76.77890264,79.44972376
2/14/20,78.864502,8743464,80.36259457,82.64767395,82.50777012,81.02952268,-1.478247439,77.864502,0.112556927,0.0088081,0.87863493,3380.159912,32.10988235,141.6544342,62.31139374,21.40114021,210.6345367,14097.33984,9731.179688,70.87880243,76.57106042,78.31852161
2/18/20,78.683205,10017308,79.92366357,82.25145443,82.224469,80.66855073,-1.55591827,77.683205,0,0,1,3370.290039,31.94277954,140.7203369,62.020401,20.79526329,208.9474182,14039.00977,9732.740234,70.69273217,76.36065854,78.94898062
2/19/20,78.244278,11740220,79.50381686,81.84387548,81.92964003,80.29558569,-1.634054342,77.244278,0.416252971,0.033277161,0.550469851,3386.149902,31.86362839,140.5316162,61.68247223,20.42391968,210.1444244,14087.12988,9817.179688,70.505856,76.147717,78.69115344
2/20/20,78.71183,10941330,79.071701,81.503999,81.69128373,80.05193097,-1.639352765,77.71183,0.165191205,0.389271485,0.445537284,3373.22998,31.52942276,139.9938049,61.17556763,20.45323563,209.3715515,14061.48047,9750.969727,70.318187,75.93225643,78.30286282
2/21/20,78.568703,9295970,78.675027,81.17184714,81.45998146,79.82374205,-1.636239407,77.568703,0,0,1,3337.75,31.41509438,141.4657288,61.60736847,20.66822243,209.9842072,13975.78027,9576.589844,70.12973834,75.71429809,78.76519496
2/24/20,77.604965,13734145,78.413305,80.84333048,81.17442468,79.48239174,-1.692032948,76.604965,0.03039434,0.505274594,0.46433109,3225.889893,30.49164009,138.5505829,60.04911423,19.8473568,205.3564301,13534.12012,9221.280273,69.94052325,75.49386386,78.53256843
2/25/20,76.593513,13171683,78.18157086,80.58387943,80.83509789,79.03794885,-1.797149039,75.593513,0,0,1,3128.209961,29.8408165,137.354126,58.33127975,19.44669724,198.2875214,13143.73047,8965.610352,69.75055501,75.27097623,77.60959671
2/26/20,76.278625,11940283,77.81215986,80.30398124,80.49758138,78.61343749,-1.88414389,75.278625,0.05247293,0.020620966,0.926906109,3116.389893,30.5356102,136.4330444,58.2374115,19.09490013,202.2083893,13046.62012,8980.780273,69.55984696,75.0456583,76.64473269
2/27/20,74.503815,15734253,77.21510414,79.93275233,80.05359869,77.98118788,-2.072410809,73.503815,0.447248846,0.01865579,0.534095347,2978.76001,29.99032974,132.1030579,55.92819977,18.2544899,191.8029633,12547.25,8566.480469,69.3684125,74.8179338,76.33006108
2/28/20,73.053436,29246117,76.47355529,79.44747414,79.53506812,77.2230722,-2.311995913,72.053436,0.008191189,0.973303616,0.018505266,2954.219971,29.39228439,127.6970673,55.44006729,16.79842949,188.2496643,12380.96973,8567.370117,69.17626509,74.58782703,74.52496471
3/2/20,77.643127,18840525,76.32088343,79.21437686,79.39492433,77.28769602,-2.107228312,76.643127,0.415935864,0.199999287,0.384064863,3090.22998,30.67632675,132.9576569,56.64160919,17.08182335,200.0028839,12827.99023,8952.169922,68.98341824,74.35536291,73.16323507
